Reading training examples... (65 examples) done
Training set properties: 2399 features, 7 classes
Iter 84: *(NumConst=80, SV=75, CEps=0.4355, QPEps=0.1707)
Iter 85: *(NumConst=81, SV=76, CEps=0.3814, QPEps=0.1696)
Iter 86: *(NumConst=82, SV=77, CEps=0.4588, QPEps=0.1532)
Iter 87: *(NumConst=83, SV=78, CEps=0.3049, QPEps=0.1402)
Iter 88: *(NumConst=84, SV=79, CEps=0.3985, QPEps=0.1455)
Iter 89: *(NumConst=85, SV=80, CEps=0.3887, QPEps=0.1408)
Iter 90: *(NumConst=86, SV=81, CEps=0.3756, QPEps=0.1399)
Iter 91: *(NumConst=87, SV=82, CEps=0.3520, QPEps=0.1519)
Iter 92: *(NumConst=87, SV=83, CEps=0.3236, QPEps=0.1321)
Iter 93: *(NumConst=88, SV=84, CEps=0.3928, QPEps=0.1364)
Iter 94: *(NumConst=89, SV=85, CEps=0.5555, QPEps=0.1506)
Iter 95: *(NumConst=90, SV=85, CEps=0.3343, QPEps=0.1504)
Iter 96: *(NumConst=91, SV=86, CEps=0.2577, QPEps=0.1170)
Iter 97: *(NumConst=92, SV=86, CEps=0.2625, QPEps=0.1189)
Iter 98: *(NumConst=93, SV=87, CEps=0.3385, QPEps=0.1229)
Iter 99: *(NumConst=94, SV=88, CEps=0.3609, QPEps=0.0954)
Iter 100: *(NumConst=95, SV=89, CEps=0.2981, QPEps=0.1185)
Iter 101: *(NumConst=96, SV=90, CEps=0.2443, QPEps=0.1096)
Iter 102: .........*(NumConst=97, SV=91, CEps=1.7383, QPEps=0.5639)
Iter 103: *(NumConst=98, SV=92, CEps=1.0976, QPEps=0.4258)
Iter 104: *(NumConst=99, SV=93, CEps=1.1728, QPEps=0.5306)
Iter 105: *(NumConst=100, SV=94, CEps=0.7528, QPEps=0.3656)
Iter 106: *(NumConst=101, SV=95, CEps=0.6769, QPEps=0.3072)
Iter 107: *(NumConst=102, SV=96, CEps=0.7127, QPEps=0.3337)
Iter 108: *(NumConst=103, SV=96, CEps=0.4261, QPEps=0.1660)
Iter 109: *(NumConst=104, SV=96, CEps=0.4559, QPEps=0.2089)
Iter 110: *(NumConst=105, SV=97, CEps=0.4444, QPEps=0.1800)
Iter 111: *(NumConst=106, SV=97, CEps=0.2848, QPEps=0.1192)
Iter 112: *(NumConst=107, SV=98, CEps=0.2703, QPEps=0.1185)
Iter 113: *(NumConst=108, SV=100, CEps=0.3312, QPEps=0.1340)
Iter 114: *(NumConst=109, SV=101, CEps=0.3570, QPEps=0.1147)
Iter 115: *(NumConst=110, SV=102, CEps=0.2487, QPEps=0.1229)
Iter 116: *(NumConst=111, SV=102, CEps=0.2445, QPEps=0.1205)
Iter 117: *(NumConst=112, SV=103, CEps=0.2971, QPEps=0.1202)
Iter 118: *(NumConst=113, SV=104, CEps=0.1871, QPEps=0.0925)
Iter 119: *(NumConst=114, SV=105, CEps=0.2295, QPEps=0.0901)
Iter 120: *(NumConst=115, SV=106, CEps=0.2948, QPEps=0.0852)
Iter 121: *(NumConst=116, SV=106, CEps=0.1748, QPEps=0.0830)
Iter 122: *(NumConst=117, SV=107, CEps=0.2135, QPEps=0.0770)
Iter 123: *(NumConst=118, SV=108, CEps=0.1774, QPEps=0.0672)
Iter 124: .........*(NumConst=119, SV=109, CEps=0.6753, QPEps=0.1616)
Iter 125: *(NumConst=120, SV=110, CEps=0.4483, QPEps=0.1851)
Iter 126: *(NumConst=121, SV=111, CEps=0.3267, QPEps=0.1334)
Iter 127: *(NumConst=122, SV=112, CEps=0.3338, QPEps=0.1565)
Iter 128: *(NumConst=121, SV=113, CEps=0.1805, QPEps=0.0876)
Iter 129: *(NumConst=122, SV=114, CEps=0.2883, QPEps=0.0902)
Iter 130: *(NumConst=123, SV=115, CEps=0.2503, QPEps=0.0889)
Iter 131: *(NumConst=123, SV=115, CEps=0.2098, QPEps=0.0892)
Iter 132: *(NumConst=124, SV=116, CEps=0.2213, QPEps=0.0795)
Iter 133: *(NumConst=125, SV=117, CEps=0.2118, QPEps=0.0866)
Iter 134: *(NumConst=126, SV=117, CEps=0.1539, QPEps=0.0713)
Iter 135: *(NumConst=127, SV=118, CEps=0.1843, QPEps=0.0685)
Iter 136: *(NumConst=128, SV=119, CEps=0.1639, QPEps=0.0757)
Iter 137: *(NumConst=129, SV=119, CEps=0.1319, QPEps=0.0575)
