Reading training examples... (65 examples) done
Training set properties: 2398 features, 8 classes
Iter 79: .........*(NumConst=75, SV=73, CEps=1.6783, QPEps=0.5120)
Iter 80: *(NumConst=76, SV=74, CEps=0.8321, QPEps=0.4125)
Iter 81: *(NumConst=77, SV=73, CEps=0.7098, QPEps=0.3278)
Iter 82: *(NumConst=78, SV=74, CEps=0.7373, QPEps=0.3161)
Iter 83: *(NumConst=79, SV=75, CEps=0.5918, QPEps=0.2413)
Iter 84: *(NumConst=80, SV=75, CEps=0.5606, QPEps=0.2467)
Iter 85: *(NumConst=81, SV=76, CEps=0.4441, QPEps=0.1928)
Iter 86: *(NumConst=82, SV=77, CEps=0.2819, QPEps=0.1395)
Iter 87: *(NumConst=83, SV=78, CEps=0.3777, QPEps=0.1295)
Iter 88: *(NumConst=84, SV=79, CEps=0.4255, QPEps=0.1135)
Iter 89: *(NumConst=85, SV=79, CEps=0.3317, QPEps=0.1215)
Iter 90: *(NumConst=86, SV=80, CEps=0.2324, QPEps=0.1031)
Iter 91: *(NumConst=87, SV=81, CEps=0.2309, QPEps=0.1072)
Iter 92: *(NumConst=88, SV=82, CEps=0.1984, QPEps=0.0732)
Iter 93: *(NumConst=89, SV=83, CEps=0.1798, QPEps=0.0735)
Iter 94: *(NumConst=89, SV=84, CEps=0.2436, QPEps=0.0820)
Iter 95: *(NumConst=90, SV=85, CEps=0.1706, QPEps=0.0718)
Iter 96: .........*(NumConst=91, SV=86, CEps=1.0004, QPEps=0.3781)
Iter 97: *(NumConst=92, SV=87, CEps=0.6541, QPEps=0.3114)
Iter 98: *(NumConst=93, SV=88, CEps=0.5664, QPEps=0.2173)
Iter 99: *(NumConst=94, SV=89, CEps=0.4938, QPEps=0.2453)
Iter 100: *(NumConst=95, SV=90, CEps=0.3788, QPEps=0.1872)
Iter 101: *(NumConst=96, SV=91, CEps=0.3898, QPEps=0.1688)
Iter 102: *(NumConst=97, SV=92, CEps=0.2792, QPEps=0.1228)
Iter 103: *(NumConst=98, SV=93, CEps=0.3056, QPEps=0.1309)
Iter 104: *(NumConst=99, SV=94, CEps=0.3076, QPEps=0.1103)
Iter 105: *(NumConst=99, SV=95, CEps=0.2096, QPEps=0.1027)
Iter 106: *(NumConst=100, SV=95, CEps=0.1980, QPEps=0.0934)
Iter 107: *(NumConst=101, SV=96, CEps=0.1407, QPEps=0.0626)
Iter 108: *(NumConst=102, SV=97, CEps=0.2450, QPEps=0.0688)
Iter 109: *(NumConst=103, SV=98, CEps=0.2323, QPEps=0.0568)
Iter 110: *(NumConst=104, SV=99, CEps=0.1114, QPEps=0.0547)
Iter 111: *(NumConst=105, SV=100, CEps=0.1686, QPEps=0.0544)
Iter 112: *(NumConst=106, SV=101, CEps=0.1369, QPEps=0.0500)
Iter 113: *(NumConst=107, SV=102, CEps=0.1439, QPEps=0.0551)
Iter 114: .........*(NumConst=108, SV=103, CEps=0.7172, QPEps=0.1700)
Iter 115: *(NumConst=109, SV=104, CEps=0.4145, QPEps=0.1418)
Iter 116: *(NumConst=110, SV=105, CEps=0.4093, QPEps=0.1875)
Iter 117: *(NumConst=111, SV=105, CEps=0.3203, QPEps=0.1524)
Iter 118: *(NumConst=112, SV=106, CEps=0.2603, QPEps=0.1283)
