Reading training examples...'3' in LINE: 5 1:1 2:1 3
Reading training examples... (65 examples) done
Training set properties: 2388 features, 8 classes
Iter 79: *(NumConst=74, SV=74, CEps=0.7269, QPEps=0.3091)
Iter 80: *(NumConst=75, SV=75, CEps=0.6166, QPEps=0.2457)
Iter 81: *(NumConst=76, SV=75, CEps=0.5473, QPEps=0.2551)
Iter 82: *(NumConst=77, SV=76, CEps=0.4938, QPEps=0.2427)
Iter 83: *(NumConst=78, SV=76, CEps=0.5504, QPEps=0.2101)
Iter 84: *(NumConst=79, SV=77, CEps=0.4547, QPEps=0.1867)
Iter 85: *(NumConst=80, SV=78, CEps=0.4148, QPEps=0.1908)
Iter 86: *(NumConst=81, SV=79, CEps=0.4067, QPEps=0.1774)
Iter 87: *(NumConst=82, SV=80, CEps=0.3528, QPEps=0.1576)
Iter 88: *(NumConst=83, SV=81, CEps=0.2645, QPEps=0.1266)
Iter 89: *(NumConst=84, SV=82, CEps=0.2374, QPEps=0.0998)
Iter 90: *(NumConst=85, SV=83, CEps=0.2663, QPEps=0.0976)
Iter 91: *(NumConst=86, SV=83, CEps=0.2915, QPEps=0.1115)
Iter 92: *(NumConst=87, SV=84, CEps=0.2795, QPEps=0.1166)
Iter 93: *(NumConst=88, SV=83, CEps=0.2809, QPEps=0.1186)
Iter 94: *(NumConst=89, SV=85, CEps=0.1463, QPEps=0.0728)
Iter 95: *(NumConst=90, SV=86, CEps=0.1870, QPEps=0.0690)
Iter 96: *(NumConst=91, SV=87, CEps=0.1997, QPEps=0.0615)
Iter 97: *(NumConst=92, SV=88, CEps=0.2330, QPEps=0.0576)
Iter 98: *(NumConst=93, SV=89, CEps=0.2184, QPEps=0.0673)
Iter 99: *(NumConst=94, SV=89, CEps=0.1638, QPEps=0.0699)
Iter 100: *(NumConst=95, SV=90, CEps=0.1657, QPEps=0.0682)
Iter 101: *(NumConst=96, SV=91, CEps=0.1580, QPEps=0.0723)
Iter 102: *(NumConst=97, SV=92, CEps=0.1231, QPEps=0.0573)
Iter 103: *(NumConst=98, SV=94, CEps=0.1399, QPEps=0.0597)
Iter 104: *(NumConst=99, SV=94, CEps=0.1888, QPEps=0.0564)
Iter 105: *(NumConst=100, SV=95, CEps=0.1258, QPEps=0.0576)
Iter 106: *(NumConst=101, SV=96, CEps=0.1374, QPEps=0.0552)
Iter 107: .........*(NumConst=102, SV=97, CEps=0.9198, QPEps=0.3078)
Iter 108: *(NumConst=103, SV=98, CEps=0.5732, QPEps=0.2464)
Iter 109: *(NumConst=104, SV=98, CEps=0.5654, QPEps=0.2594)
Iter 110: *(NumConst=105, SV=99, CEps=0.4115, QPEps=0.2020)
Iter 111: *(NumConst=106, SV=100, CEps=0.3744, QPEps=0.1837)
Iter 112: *(NumConst=107, SV=101, CEps=0.3803, QPEps=0.1682)
Iter 113: *(NumConst=108, SV=102, CEps=0.3094, QPEps=0.1398)
Iter 114: *(NumConst=109, SV=102, CEps=0.2076, QPEps=0.1019)
Iter 115: *(NumConst=110, SV=103, CEps=0.2364, QPEps=0.0965)
Iter 116: *(NumConst=111, SV=104, CEps=0.2535, QPEps=0.0939)
Iter 117: *(NumConst=112, SV=105, CEps=0.2183, QPEps=0.0949)
Iter 118: *(NumConst=113, SV=106, CEps=0.1553, QPEps=0.0712)
Iter 119: *(NumConst=114, SV=107, CEps=0.1488, QPEps=0.0731)
Iter 120: *(NumConst=115, SV=108, CEps=0.1262, QPEps=0.0599)
Iter 121: *(NumConst=116, SV=109, CEps=0.1256, QPEps=0.0544)
Iter 122: *(NumConst=117, SV=110, CEps=0.1540, QPEps=0.0565)
