Reading training examples... (65 examples) done
Training set properties: 2390 features, 7 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=27.8695, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=3, CEps=10.3567, QPEps=0.0000)
Iter 4: .........*(NumConst=4, SV=4, CEps=93.2840, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=5, CEps=30.5785, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=6, CEps=23.1416, QPEps=0.0000)
Iter 7: *(NumConst=7, SV=7, CEps=12.2316, QPEps=0.0000)
Iter 8: .........*(NumConst=8, SV=8, CEps=52.1396, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=9, CEps=23.6753, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=9, CEps=15.0561, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=10, CEps=10.8430, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=7.2173, QPEps=0.0843)
Iter 13: .........*(NumConst=13, SV=12, CEps=20.3539, QPEps=0.8608)
Iter 14: *(NumConst=14, SV=13, CEps=13.0705, QPEps=2.2841)
Iter 15: *(NumConst=15, SV=13, CEps=9.9119, QPEps=1.4768)
Iter 16: *(NumConst=16, SV=14, CEps=5.9199, QPEps=0.6241)
Iter 17: *(NumConst=17, SV=15, CEps=5.2417, QPEps=1.8750)
Iter 18: *(NumConst=18, SV=16, CEps=4.3239, QPEps=1.3769)
Iter 19: *(NumConst=19, SV=17, CEps=5.0821, QPEps=1.0072)
Iter 20: *(NumConst=20, SV=18, CEps=2.6274, QPEps=0.9098)
Iter 21: *(NumConst=21, SV=19, CEps=2.9900, QPEps=0.9339)
Iter 22: .........*(NumConst=22, SV=20, CEps=10.1506, QPEps=1.3016)
Iter 23: *(NumConst=23, SV=21, CEps=5.6235, QPEps=1.7679)
Iter 24: *(NumConst=24, SV=22, CEps=3.7560, QPEps=1.1523)
Iter 25: *(NumConst=25, SV=23, CEps=3.5905, QPEps=0.9397)
Iter 26: *(NumConst=26, SV=24, CEps=3.3138, QPEps=1.3711)
Iter 27: *(NumConst=27, SV=25, CEps=3.0913, QPEps=1.4669)
Iter 28: *(NumConst=28, SV=26, CEps=2.4468, QPEps=1.1746)
Iter 29: *(NumConst=29, SV=27, CEps=2.4335, QPEps=0.9424)
Iter 30: *(NumConst=30, SV=28, CEps=1.5712, QPEps=0.7728)
Iter 31: *(NumConst=31, SV=28, CEps=1.1973, QPEps=0.5315)
Iter 32: *(NumConst=32, SV=29, CEps=1.6499, QPEps=0.4687)
Iter 33: *(NumConst=33, SV=30, CEps=1.1232, QPEps=0.5560)
Iter 34: .........*(NumConst=34, SV=31, CEps=4.7139, QPEps=1.3929)
Iter 35: *(NumConst=35, SV=32, CEps=2.5276, QPEps=1.1412)
Iter 36: *(NumConst=36, SV=33, CEps=2.6899, QPEps=1.1252)
Iter 37: *(NumConst=37, SV=34, CEps=2.5109, QPEps=1.1486)
Iter 38: *(NumConst=38, SV=35, CEps=2.0082, QPEps=0.9173)
Iter 39: *(NumConst=39, SV=36, CEps=1.6971, QPEps=0.7759)
Iter 40: *(NumConst=40, SV=37, CEps=1.3192, QPEps=0.6135)
Iter 41: *(NumConst=41, SV=38, CEps=1.2729, QPEps=0.6099)
Iter 42: *(NumConst=42, SV=39, CEps=0.8913, QPEps=0.3572)
Iter 43: *(NumConst=43, SV=40, CEps=1.1942, QPEps=0.3745)
Iter 44: *(NumConst=44, SV=41, CEps=0.9594, QPEps=0.3961)
Iter 45: *(NumConst=45, SV=42, CEps=0.7654, QPEps=0.3194)
Iter 46: *(NumConst=46, SV=43, CEps=0.9469, QPEps=0.3067)
Iter 47: *(NumConst=47, SV=43, CEps=0.7851, QPEps=0.3384)
Iter 48: .........*(NumConst=48, SV=44, CEps=1.7559, QPEps=0.5605)
Iter 49: *(NumConst=49, SV=44, CEps=1.1032, QPEps=0.4370)
Iter 50: *(NumConst=50, SV=45, CEps=1.0617, QPEps=0.4760)
Iter 51: *(NumConst=51, SV=46, CEps=0.9237, QPEps=0.4280)
Iter 52: *(NumConst=52, SV=47, CEps=0.8774, QPEps=0.4096)
Iter 53: *(NumConst=53, SV=48, CEps=0.7495, QPEps=0.3174)
Iter 54: *(NumConst=54, SV=49, CEps=0.6699, QPEps=0.3189)
Iter 55: *(NumConst=55, SV=50, CEps=0.6820, QPEps=0.3268)
Iter 56: *(NumConst=56, SV=51, CEps=0.5569, QPEps=0.2746)
Iter 57: *(NumConst=57, SV=52, CEps=0.4921, QPEps=0.2378)
Iter 58: *(NumConst=58, SV=53, CEps=0.4315, QPEps=0.2147)
Iter 59: *(NumConst=58, SV=53, CEps=0.4923, QPEps=0.1983)
Iter 60: *(NumConst=59, SV=54, CEps=0.4069, QPEps=0.1800)
Iter 61: *(NumConst=60, SV=55, CEps=0.3354, QPEps=0.1616)
Iter 62: *(NumConst=61, SV=56, CEps=0.4363, QPEps=0.1451)
Iter 63: *(NumConst=62, SV=56, CEps=0.3624, QPEps=0.1600)
Iter 64: *(NumConst=62, SV=57, CEps=0.3590, QPEps=0.1404)
Iter 65: *(NumConst=63, SV=58, CEps=0.3229, QPEps=0.1412)
Iter 66: *(NumConst=64, SV=59, CEps=0.2860, QPEps=0.1262)
Iter 67: *(NumConst=65, SV=60, CEps=0.2673, QPEps=0.0987)
Iter 68: *(NumConst=66, SV=61, CEps=0.3453, QPEps=0.1255)
Iter 69: *(NumConst=67, SV=62, CEps=0.3096, QPEps=0.1171)
Iter 70: *(NumConst=68, SV=63, CEps=0.3459, QPEps=0.1136)
Iter 71: *(NumConst=69, SV=64, CEps=0.2890, QPEps=0.1258)
Iter 72: *(NumConst=70, SV=65, CEps=0.2843, QPEps=0.1055)
Iter 73: *(NumConst=71, SV=66, CEps=0.2531, QPEps=0.1123)
