Reading training examples... (65 examples) done
Training set properties: 2393 features, 7 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=27.9634, QPEps=0.0000)
Iter 3: .........*(NumConst=3, SV=3, CEps=92.5599, QPEps=0.0000)
Iter 4: *(NumConst=4, SV=4, CEps=38.8071, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=5, CEps=30.0818, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=5, CEps=12.7030, QPEps=0.0000)
Iter 7: *(NumConst=7, SV=6, CEps=10.1092, QPEps=0.0000)
Iter 8: .........*(NumConst=8, SV=7, CEps=41.4761, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=8, CEps=19.9871, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=9, CEps=15.2542, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=10, CEps=11.9791, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=8.5257, QPEps=1.1614)
Iter 13: *(NumConst=13, SV=11, CEps=6.0197, QPEps=1.6554)
Iter 14: .........*(NumConst=14, SV=11, CEps=21.1095, QPEps=2.5256)
Iter 15: *(NumConst=15, SV=12, CEps=8.6442, QPEps=2.0372)
Iter 16: *(NumConst=16, SV=13, CEps=6.1971, QPEps=0.6009)
Iter 17: *(NumConst=17, SV=14, CEps=4.9523, QPEps=0.5739)
Iter 18: *(NumConst=18, SV=15, CEps=4.7786, QPEps=0.9988)
Iter 19: *(NumConst=19, SV=15, CEps=2.6866, QPEps=0.8228)
Iter 20: *(NumConst=20, SV=16, CEps=2.7273, QPEps=1.3234)
Iter 21: .........*(NumConst=21, SV=17, CEps=8.6271, QPEps=2.0298)
Iter 22: *(NumConst=22, SV=18, CEps=5.9670, QPEps=1.4376)
Iter 23: *(NumConst=23, SV=19, CEps=4.2001, QPEps=2.0499)
Iter 24: *(NumConst=24, SV=20, CEps=3.6422, QPEps=1.4812)
Iter 25: *(NumConst=25, SV=21, CEps=3.3690, QPEps=1.2449)
Iter 26: *(NumConst=26, SV=22, CEps=2.7568, QPEps=1.0690)
Iter 27: *(NumConst=27, SV=23, CEps=2.6131, QPEps=1.2379)
Iter 28: *(NumConst=28, SV=24, CEps=2.0203, QPEps=0.8954)
