Reading training examples... (65 examples) done
Iter 79: *(NumConst=75, SV=74, CEps=0.2270, QPEps=0.0667)
Iter 80: *(NumConst=76, SV=75, CEps=0.2184, QPEps=0.0666)
Iter 81: *(NumConst=77, SV=76, CEps=0.1593, QPEps=0.0772)
Iter 82: *(NumConst=78, SV=77, CEps=0.1439, QPEps=0.0596)
Iter 83: *(NumConst=79, SV=78, CEps=0.1383, QPEps=0.0685)
Iter 84: *(NumConst=80, SV=79, CEps=0.1648, QPEps=0.0655)
Iter 85: .........*(NumConst=81, SV=80, CEps=0.9213, QPEps=0.4161)
Iter 86: *(NumConst=82, SV=80, CEps=0.6643, QPEps=0.2560)
Iter 87: *(NumConst=83, SV=81, CEps=0.5045, QPEps=0.1640)
Iter 88: *(NumConst=84, SV=81, CEps=0.4529, QPEps=0.1900)
Iter 89: *(NumConst=85, SV=82, CEps=0.3456, QPEps=0.1559)
Iter 90: *(NumConst=86, SV=83, CEps=0.3429, QPEps=0.1694)
Iter 91: *(NumConst=87, SV=84, CEps=0.2313, QPEps=0.1086)
Iter 92: *(NumConst=88, SV=85, CEps=0.3502, QPEps=0.1035)
Iter 93: *(NumConst=89, SV=86, CEps=0.2986, QPEps=0.1054)
Iter 94: *(NumConst=90, SV=86, CEps=0.2558, QPEps=0.1082)
Iter 95: *(NumConst=91, SV=87, CEps=0.2081, QPEps=0.0919)
Iter 96: *(NumConst=91, SV=88, CEps=0.2760, QPEps=0.0882)
Iter 97: *(NumConst=92, SV=90, CEps=0.1696, QPEps=0.0780)
Iter 98: *(NumConst=93, SV=89, CEps=0.2038, QPEps=0.0705)
Iter 99: *(NumConst=94, SV=91, CEps=0.1747, QPEps=0.0684)
Iter 100: *(NumConst=95, SV=91, CEps=0.1714, QPEps=0.0795)
Iter 101: *(NumConst=96, SV=91, CEps=0.1085, QPEps=0.0514)
Iter 102: *(NumConst=97, SV=92, CEps=0.1210, QPEps=0.0387)
Iter 103: *(NumConst=98, SV=93, CEps=0.1491, QPEps=0.0486)
Iter 104: *(NumConst=99, SV=94, CEps=0.1351, QPEps=0.0528)
Iter 105: *(NumConst=100, SV=95, CEps=0.1040, QPEps=0.0498)
Iter 106: .........*(NumConst=101, SV=96, CEps=0.5543, QPEps=0.2034)
Iter 107: *(NumConst=102, SV=97, CEps=0.3815, QPEps=0.1841)
Iter 108: *(NumConst=103, SV=98, CEps=0.3297, QPEps=0.1242)
Iter 109: *(NumConst=104, SV=99, CEps=0.2626, QPEps=0.0988)
Iter 110: *(NumConst=105, SV=100, CEps=0.2536, QPEps=0.1227)
Iter 111: *(NumConst=106, SV=101, CEps=0.2249, QPEps=0.1056)
Iter 112: *(NumConst=107, SV=102, CEps=0.1691, QPEps=0.0737)
Iter 113: *(NumConst=108, SV=103, CEps=0.1718, QPEps=0.0797)
Iter 114: *(NumConst=109, SV=104, CEps=0.1231, QPEps=0.0610)
Iter 115: *(NumConst=110, SV=105, CEps=0.1232, QPEps=0.0592)
Iter 116: .........*(NumConst=111, SV=106, CEps=0.2851, QPEps=0.1124)
Iter 117: *(NumConst=112, SV=107, CEps=0.2071, QPEps=0.0855)
Iter 118: *(NumConst=113, SV=108, CEps=0.1724, QPEps=0.0708)
Iter 119: *(NumConst=114, SV=109, CEps=0.1594, QPEps=0.0639)
Iter 120: *(NumConst=115, SV=110, CEps=0.1484, QPEps=0.0683)
Iter 121: *(NumConst=116, SV=111, CEps=0.1158, QPEps=0.0528)
Iter 122: .........*(NumConst=117, SV=112, CEps=0.1411, QPEps=0.0667)
Iter 123: *(NumConst=118, SV=113, CEps=0.1118, QPEps=0.0506)
Iter 124: *(NumConst=119, SV=114, CEps=0.1080, QPEps=0.0502)
Iter 125: .........(NumConst=119, SV=114, CEps=0.0883, QPEps=0.0502)
Final epsilon on KKT-Conditions: 0.08833
Upper bound on duality gap: 460.20713
Dual objective value: dval=36125.00982
Primal objective value: pval=36585.21695
Total number of constraints in final working set: 119 (of 124)
Number of iterations: 125
Number of calls to 'find_most_violated_constraint': 845
Number of SV: 114 
Norm of weight vector: |w|=268.86260
Value of slack variable (on working set): xi=0.01939
Value of slack variable (global): xi=0.08833
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=0.49423
Runtime in cpu-seconds: 0.06
Final number of constraints in cache: 310
Compacting linear model...done
Writing learned model...done
